Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
2244,Exit long,2025-10-16 17:25,Long Exit,4300.1,23,98897.7,-46,0.00,1541,0.16,-575,-0.06,3864,0.39
2244,Entry long,2025-10-16 17:15,Long,4299.9,23,98897.7,-46,0.00,1541,0.16,-575,-0.06,3864,0.39
2245,Exit long,2025-10-16 17:30,Long Exit,4303.1,23,98900,621,0.06,1840,0.19,0,0.00,4485,0.45
2245,Entry long,2025-10-16 17:25,Long,4300,23,98900,621,0.06,1840,0.19,0,0.00,4485,0.45
2246,Exit long,2025-10-16 17:50,Long Exit,4286,23,98573.4,-46,0.00,2070,0.21,-782,-0.08,4439,0.44
2246,Entry long,2025-10-16 17:40,Long,4285.8,23,98573.4,-46,0.00,2070,0.21,-782,-0.08,4439,0.44
2247,Exit long,2025-10-16 21:15,Long Exit,4331.8,23,99426.7,1955,0.20,3059,0.31,-414,-0.04,6394,0.64
2247,Entry long,2025-10-16 20:50,Long,4322.9,23,99426.7,1955,0.20,3059,0.31,-414,-0.04,6394,0.64
2248,Exit long,2025-10-16 23:30,Long Exit,4372.4,23,100098.3,4577,0.46,9131,0.91,-1196,-0.12,10971,1.10
2248,Entry long,2025-10-16 23:00,Long,4352.1,23,100098.3,4577,0.46,9131,0.91,-1196,-0.12,10971,1.10
2249,Exit long,2025-10-17 02:15,Long Exit,4358.1,23,100466.3,-2392,-0.24,690,0.07,-2691,-0.27,8579,0.86
2249,Entry long,2025-10-17 02:05,Long,4368.1,23,100466.3,-2392,-0.24,690,0.07,-2691,-0.27,8579,0.86
2250,Exit short,2025-10-17 02:55,Short Exit,4313.1,23,98962.1,-2484,-0.25,2668,0.27,-4554,-0.46,6095,0.61
2250,Entry short,2025-10-17 02:40,Short,4302.7,23,98962.1,-2484,-0.25,2668,0.27,-4554,-0.46,6095,0.61
2251,Exit long,2025-10-17 05:15,Long Exit,4378.4,22,96481,-1650,-0.17,594,0.06,-1606,-0.17,4445,0.44
2251,Entry long,2025-10-17 05:00,Long,4385.5,22,96481,-1650,-0.17,594,0.06,-1606,-0.17,4445,0.44
2252,Exit long,2025-10-17 07:05,Long Exit,4378.3,22,96208.2,1056,0.11,1980,0.21,-1034,-0.11,5501,0.55
2252,Entry long,2025-10-17 06:35,Long,4373.1,22,96208.2,1056,0.11,1980,0.21,-1034,-0.11,5501,0.55
2253,Exit long,2025-10-17 08:35,Long Exit,4351.1,23,100224.8,-1587,-0.16,1380,0.14,-3473,-0.35,3914,0.39
2253,Entry long,2025-10-17 08:20,Long,4357.6,23,100224.8,-1587,-0.16,1380,0.14,-3473,-0.35,3914,0.39
2254,Exit short,2025-10-17 11:40,Short Exit,4342.7,23,99886.7,-46,0.00,2415,0.24,-1403,-0.14,3868,0.39
2254,Entry short,2025-10-17 11:30,Short,4342.9,23,99886.7,-46,0.00,2415,0.24,-1403,-0.14,3868,0.39
2255,Exit long,2025-10-17 11:50,Long Exit,4344.2,23,99941.9,-345,-0.03,1127,0.11,-644,-0.06,3523,0.35
2255,Entry long,2025-10-17 11:40,Long,4345.3,23,99941.9,-345,-0.03,1127,0.11,-644,-0.06,3523,0.35
2256,Exit short,2025-10-17 12:50,Short Exit,4319.8,23,99622.2,2576,0.26,3680,0.37,-3289,-0.33,6099,0.61
2256,Entry short,2025-10-17 12:10,Short,4331.4,23,99622.2,2576,0.26,3680,0.37,-3289,-0.33,6099,0.61
2257,Exit short,2025-10-17 13:05,Short Exit,4313.3,23,99419.8,2047,0.21,6417,0.65,0,0.00,8146,0.81
2257,Entry short,2025-10-17 12:50,Short,4322.6,23,99419.8,2047,0.21,6417,0.65,0,0.00,8146,0.81
2258,Exit short,2025-10-17 14:15,Short Exit,4328.8,23,99226.6,-3450,-0.35,414,0.04,-3404,-0.34,4696,0.47
2258,Entry short,2025-10-17 14:00,Short,4314.2,23,99226.6,-3450,-0.35,414,0.04,-3404,-0.34,4696,0.47
2259,Exit short,2025-10-17 14:50,Short Exit,4298.2,23,99051.8,1840,0.19,8786,0.89,-161,-0.02,6536,0.65
2259,Entry short,2025-10-17 14:30,Short,4306.6,23,99051.8,1840,0.19,8786,0.89,-161,-0.02,6536,0.65
2260,Exit short,2025-10-17 15:10,Short Exit,4249.7,23,97743.1,-92,-0.01,3266,0.33,-2024,-0.21,6444,0.64
2260,Entry short,2025-10-17 15:00,Short,4249.7,23,97743.1,-92,-0.01,3266,0.33,-2024,-0.21,6444,0.64
2261,Exit short,2025-10-17 15:10,Short Exit,4264.9,23,97743.1,-3588,-0.37,0,0.00,-3542,-0.36,2856,0.29
2261,Entry short,2025-10-17 15:10,Short,4249.7,23,97743.1,-3588,-0.37,0,0.00,-3542,-0.36,2856,0.29
2262,Exit short,2025-10-17 15:15,Short Exit,4249.4,23,97175,-5704,-0.59,0,0.00,-5658,-0.58,-2848,-0.28
2262,Entry short,2025-10-17 15:10,Short,4225,23,97175,-5704,-0.59,0,0.00,-5658,-0.58,-2848,-0.28
2263,Exit short,2025-10-17 17:40,Short Exit,4233.2,23,97207.2,-1656,-0.17,1771,0.18,-1610,-0.17,-4504,-0.45
2263,Entry short,2025-10-17 17:30,Short,4226.4,23,97207.2,-1656,-0.17,1771,0.18,-1610,-0.17,-4504,-0.45
2264,Exit short,2025-10-17 18:10,Short Exit,4206.2,23,96747.2,-46,0.00,598,0.06,-2116,-0.22,-4550,-0.45
2264,Entry short,2025-10-17 18:00,Short,4206.4,23,96747.2,-46,0.00,598,0.06,-2116,-0.22,-4550,-0.45
2265,Exit short,2025-10-19 23:45,Short Exit,4274.6,23,98095,-2300,-0.23,644,0.07,-2254,-0.23,-6850,-0.68
2265,Entry short,2025-10-19 23:30,Short,4265,23,98095,-2300,-0.23,644,0.07,-2254,-0.23,-6850,-0.68
2266,Exit short,2025-10-20 01:30,Short Exit,4239.1,23,97439.5,-690,-0.07,1702,0.17,-2599,-0.27,-7540,-0.75
2266,Entry short,2025-10-20 01:10,Short,4236.5,23,97439.5,-690,-0.07,1702,0.17,-2599,-0.27,-7540,-0.75
2267,Exit short,2025-10-20 02:10,Short Exit,4261.7,23,97646.5,-3818,-0.39,1104,0.11,-3772,-0.39,-11358,-1.14
2267,Entry short,2025-10-20 02:00,Short,4245.5,23,97646.5,-3818,-0.39,1104,0.11,-3772,-0.39,-11358,-1.14
2268,Exit short,2025-10-20 06:30,Short Exit,4270,23,98302,828,0.08,3473,0.35,-437,-0.04,-10530,-1.05
2268,Entry short,2025-10-20 06:10,Short,4274,23,98302,828,0.08,3473,0.35,-437,-0.04,-10530,-1.05
2269,Exit short,2025-10-20 07:05,Short Exit,4252.2,23,98037.5,2277,0.23,4462,0.46,-1173,-0.12,-8253,-0.83
2269,Entry short,2025-10-20 06:35,Short,4262.5,23,98037.5,2277,0.23,4462,0.46,-1173,-0.12,-8253,-0.83
2270,Exit short,2025-10-20 11:15,Short Exit,4268.3,23,98016.8,-1633,-0.17,437,0.04,-1610,-0.16,-9886,-0.99
2270,Entry short,2025-10-20 11:05,Short,4261.6,23,98016.8,-1633,-0.17,437,0.04,-1610,-0.16,-9886,-0.99
2271,Exit long,2025-10-20 13:10,Long Exit,4291.8,23,98780.4,-782,-0.08,529,0.05,-1679,-0.17,-10668,-1.07
2271,Entry long,2025-10-20 12:55,Long,4294.8,23,98780.4,-782,-0.08,529,0.05,-1679,-0.17,-10668,-1.07
2272,Exit long,2025-10-20 13:25,Long Exit,4309.7,23,98706.8,4071,0.41,5681,0.58,0,0.00,-6597,-0.66
2272,Entry long,2025-10-20 13:10,Long,4291.6,23,98706.8,4071,0.41,5681,0.58,0,0.00,-6597,-0.66
2273,Exit long,2025-10-20 13:45,Long Exit,4334.8,22,95062,2948,0.31,4378,0.46,-88,-0.01,-3649,-0.36
2273,Entry long,2025-10-20 13:30,Long,4321,22,95062,2948,0.31,4378,0.46,-88,-0.01,-3649,-0.36
2274,Exit long,2025-10-20 15:30,Long Exit,4339,22,95585.6,-1364,-0.14,748,0.08,-1672,-0.17,-5013,-0.50
2274,Entry long,2025-10-20 15:20,Long,4344.8,22,95585.6,-1364,-0.14,748,0.08,-1672,-0.17,-5013,-0.50
2275,Exit long,2025-10-20 18:30,Long Exit,4358.4,22,96038.8,-1628,-0.17,22,0.00,-1606,-0.17,-6641,-0.66
2275,Entry long,2025-10-20 18:20,Long,4365.4,22,96038.8,-1628,-0.17,22,0.00,-1606,-0.17,-6641,-0.66
2276,Exit long,2025-10-20 19:40,Long Exit,4377.8,22,96263.2,396,0.04,1430,0.15,-660,-0.07,-6245,-0.62
2276,Entry long,2025-10-20 19:25,Long,4375.6,22,96263.2,396,0.04,1430,0.15,-660,-0.07,-6245,-0.62
2277,Exit long,2025-10-20 21:00,Long Exit,4380,22,96676.8,-3256,-0.34,462,0.05,-4180,-0.43,-9501,-0.95
2277,Entry long,2025-10-20 20:55,Long,4394.4,22,96676.8,-3256,-0.34,462,0.05,-4180,-0.43,-9501,-0.95
2278,Exit long,2025-10-20 21:35,Long Exit,4364.4,22,96296.2,-2882,-0.30,440,0.05,-2838,-0.29,-12383,-1.24
2278,Entry long,2025-10-20 21:20,Long,4377.1,22,96296.2,-2882,-0.30,440,0.05,-2838,-0.29,-12383,-1.24
2279,Exit long,2025-10-21 01:15,Long Exit,4375.4,22,96320.4,-704,-0.07,242,0.03,-770,-0.08,-13087,-1.31
2279,Entry long,2025-10-21 01:05,Long,4378.2,22,96320.4,-704,-0.07,242,0.03,-770,-0.08,-13087,-1.31
2280,Exit long,2025-10-21 01:45,Long Exit,4384.7,22,96186.2,2684,0.28,3344,0.35,0,0.00,-10403,-1.04
2280,Entry long,2025-10-21 01:15,Long,4372.1,22,96186.2,2684,0.28,3344,0.35,0,0.00,-10403,-1.04
2281,Exit long,2025-10-21 02:00,Long Exit,4381,22,96494.2,-1210,-0.13,792,0.08,-1782,-0.18,-11613,-1.16
2281,Entry long,2025-10-21 01:55,Long,4386.1,22,96494.2,-1210,-0.13,792,0.08,-1782,-0.18,-11613,-1.16
2282,Exit long,2025-10-21 02:50,Long Exit,4356.7,22,95997,-1584,-0.16,506,0.05,-1540,-0.16,-13197,-1.32
2282,Entry long,2025-10-21 02:40,Long,4363.5,22,95997,-1584,-0.16,506,0.05,-1540,-0.16,-13197,-1.32
2283,Exit short,2025-10-21 06:25,Short Exit,4347.6,22,95704.4,484,0.05,1034,0.11,-660,-0.07,-12713,-1.27
2283,Entry short,2025-10-21 06:05,Short,4350.2,22,95704.4,484,0.05,1034,0.11,-660,-0.07,-12713,-1.27
2284,Exit short,2025-10-21 06:45,Short Exit,4339.3,22,95433.8,-396,-0.04,924,0.10,-1298,-0.14,-13109,-1.31
2284,Entry short,2025-10-21 06:30,Short,4337.9,22,95433.8,-396,-0.04,924,0.10,-1298,-0.14,-13109,-1.31
2285,Exit short,2025-10-21 07:05,Short Exit,4342.3,22,95429.4,-1100,-0.12,176,0.02,-1386,-0.15,-14209,-1.42
