Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
48,Exit short,2025-11-17 06:00,Short Exit,4065.4,1,4054.5,-113,-0.28,31,0.08,-111,-0.27,16981,1.70
48,Entry short,2025-11-17 05:30,Short,4054.5,1,4054.5,-113,-0.28,31,0.08,-111,-0.27,16981,1.70
49,Exit short,2025-11-17 11:05,Short Exit,4075.2,2,8130,-212,-0.26,0,0.00,-212,-0.26,16769,1.68
49,Entry short,2025-11-17 11:00,Short,4065,2,8130,-212,-0.26,0,0.00,-212,-0.26,16769,1.68
50,Exit short,2025-11-17 21:00,EOD Close 21:00 UTC,4041.7,2,8078.2,-60,-0.07,644,0.80,-112,-0.14,16705,1.67
50,Entry short,2025-11-17 19:30,Short,4039.1,2,8078.2,-60,-0.07,644,0.80,-112,-0.14,16705,1.67
51,Exit short,2025-11-17 21:00,EOD Close 21:00 UTC,4041.7,1,4032.2,-99,-0.25,253,0.63,-125,-0.31,16608,1.66
51,Entry short,2025-11-17 19:35,Short,4032.2,1,4032.2,-99,-0.25,253,0.63,-125,-0.31,16608,1.66
52,Exit short,2025-11-17 21:00,EOD Close 21:00 UTC,4041.7,1,4019.5,-226,-0.56,126,0.31,-252,-0.63,16384,1.64
52,Entry short,2025-11-17 19:40,Short,4019.5,1,4019.5,-226,-0.56,126,0.31,-252,-0.63,16384,1.64
53,Exit short,2025-11-18 03:10,Short Exit,4012.3,2,8073.8,484,0.60,488,0.60,-160,-0.20,16868,1.69
53,Entry short,2025-11-17 23:40,Short,4036.9,2,8073.8,484,0.60,488,0.60,-160,-0.20,16868,1.69
54,Exit long,2025-11-18 14:40,Long Exit,4082,2,8072.8,904,1.12,908,1.12,-168,-0.21,17772,1.78
54,Entry long,2025-11-18 08:30,Long,4036.4,2,8072.8,904,1.12,908,1.12,-168,-0.21,17772,1.78
55,Exit long,2025-11-19 08:10,Long Exit,4078.8,2,8174.6,-178,-0.22,250,0.31,-174,-0.21,17592,1.76
55,Entry long,2025-11-19 05:15,Long,4087.3,2,8174.6,-178,-0.22,250,0.31,-174,-0.21,17592,1.76
56,Exit long,2025-11-19 08:10,Long Exit,4078.8,1,4096.2,-178,-0.43,36,0.09,-176,-0.43,17416,1.74
56,Entry long,2025-11-19 05:30,Long,4096.2,1,4096.2,-178,-0.43,36,0.09,-176,-0.43,17416,1.74
57,Exit long,2025-11-19 13:10,Long Exit,4106.4,2,8228.6,-166,-0.20,128,0.16,-162,-0.20,17250,1.73
57,Entry long,2025-11-19 09:55,Long,4114.3,2,8228.6,-166,-0.20,128,0.16,-162,-0.20,17250,1.73
58,Exit long,2025-11-20 02:00,Long Exit,4076.5,2,8174.6,-224,-0.27,446,0.55,-220,-0.27,17026,1.70
58,Entry long,2025-11-19 23:00,Long,4087.3,2,8174.6,-224,-0.27,446,0.55,-220,-0.27,17026,1.70
59,Exit short,2025-11-20 13:10,Open,4087.2,2,8140.8,-344,-0.42,704,0.86,-476,-0.58,16678,1.67
59,Entry short,2025-11-20 02:00,Short,4070.4,2,8140.8,-344,-0.42,704,0.86,-476,-0.58,16678,1.67
