Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-02-02 23:35,EOD Close 21:00 UTC,2829.6,2,5659.2,-8,-0.01,0,0.00,-4,-0.01,-8,0.00
1,Entry short,2025-02-02 23:35,Short,2829.6,2,5659.2,-8,-0.01,0,0.00,-4,-0.01,-8,0.00
2,Exit long,2025-02-11 07:30,Long Exit,2935.1,2,5893.8,-244,-0.41,132,0.22,-240,-0.41,-252,-0.03
2,Entry long,2025-02-11 02:45,Long,2946.9,2,5893.8,-244,-0.41,132,0.22,-240,-0.41,-252,-0.03
3,Exit long,2025-04-02 21:25,TP 3:1,3165.6,1,3165.6,-4,-0.01,0,0.00,-2,-0.01,-258,-0.03
3,Entry long,2025-04-02 21:25,Long,3165.6,1,3165.6,-4,-0.01,0,0.00,-2,-0.01,-258,-0.03
4,Exit long,2025-04-02 21:25,Long Exit,3165.6,1,3165.6,-4,-0.01,0,0.00,-2,-0.01,-260,-0.03
4,Entry long,2025-04-02 21:25,Long,3165.6,1,3165.6,-4,-0.01,0,0.00,-2,-0.01,-260,-0.03
5,Exit long,2025-04-02 21:35,Long Exit,3186.7,2,6384,-114,-0.18,8,0.01,-110,-0.17,-374,-0.04
5,Entry long,2025-04-02 21:35,Long,3192,2,6384,-114,-0.18,8,0.01,-110,-0.17,-374,-0.04
6,Exit short,2025-04-02 23:05,EOD Close 21:00 UTC,3162.2,2,6372.8,476,0.75,680,1.07,-216,-0.34,102,0.01
6,Entry short,2025-04-02 21:35,Short,3186.4,2,6372.8,476,0.75,680,1.07,-216,-0.34,102,0.01
7,Exit short,2025-04-03 11:05,Short Exit,3132.1,2,6355.6,906,1.43,910,1.43,-188,-0.30,1008,0.10
7,Entry short,2025-04-03 01:10,Short,3177.8,2,6355.6,906,1.43,910,1.43,-188,-0.30,1008,0.10
8,Exit short,2025-04-03 14:10,Short Exit,3079.8,2,6236,756,1.21,760,1.22,-58,-0.09,1764,0.18
8,Entry short,2025-04-03 12:00,Short,3118,2,6236,756,1.21,760,1.22,-58,-0.09,1764,0.18
9,Exit long,2025-04-04 11:55,Long Exit,3126.1,2,6270.6,-192,-0.31,56,0.09,-188,-0.30,1572,0.16
9,Entry long,2025-04-04 11:35,Long,3135.3,2,6270.6,-192,-0.31,56,0.09,-188,-0.30,1572,0.16
10,Exit long,2025-04-04 12:40,Long Exit,3134.5,2,6302.2,-340,-0.54,182,0.29,-336,-0.53,1232,0.12
10,Entry long,2025-04-04 12:10,Long,3151.1,2,6302.2,-340,-0.54,182,0.29,-336,-0.53,1232,0.12
11,Exit short,2025-04-04 16:35,Short Exit,3035.9,2,6198.4,1258,2.03,1262,2.04,-216,-0.35,2490,0.25
11,Entry short,2025-04-04 13:40,Short,3099.2,2,6198.4,1258,2.03,1262,2.04,-216,-0.35,2490,0.25
12,Exit long,2025-04-06 23:00,Long Exit,3032.5,2,6083.2,-190,-0.31,404,0.66,-186,-0.31,2300,0.23
12,Entry long,2025-04-04 18:35,Long,3041.6,2,6083.2,-190,-0.31,404,0.66,-186,-0.31,2300,0.23
13,Exit short,2025-04-07 00:25,EOD Close 21:00 UTC,3009,2,6018,-8,-0.01,0,0.00,-4,-0.01,2292,0.23
13,Entry short,2025-04-07 00:25,Short,3009,2,6018,-8,-0.01,0,0.00,-4,-0.01,2292,0.23
14,Exit long,2025-04-07 16:05,Long Exit,3007.7,2,6046.2,-316,-0.52,1180,1.95,-312,-0.52,1976,0.20
14,Entry long,2025-04-07 02:15,Long,3023.1,2,6046.2,-316,-0.52,1180,1.95,-312,-0.52,1976,0.20
15,Exit long,2025-04-09 07:10,Long Exit,3042.1,2,6009.6,738,1.23,742,1.23,-44,-0.07,2714,0.27
15,Entry long,2025-04-09 02:30,Long,3004.8,2,6009.6,738,1.23,742,1.23,-44,-0.07,2714,0.27
16,Exit long,2025-04-09 08:15,Long Exit,3060.1,2,6127.8,-84,-0.14,18,0.03,-80,-0.13,2630,0.26
16,Entry long,2025-04-09 08:15,Long,3063.9,2,6127.8,-84,-0.14,18,0.03,-80,-0.13,2630,0.26
17,Exit short,2025-04-09 14:30,Short Exit,3079.4,2,6136,-236,-0.38,186,0.30,-232,-0.38,2394,0.24
