Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
62,Entry short,2025-09-05 21:05,Short Entry,3642.4,2,7284.8,208.66,0.29,281.15,0.39,-120.85,-0.17,-7852.96,-7.85
63,Exit long,2025-09-08 08:10,Long Exit,3641.9,2,7257.4,118.59,0.16,191.43,0.26,-96.57,-0.13,-7734.37,-7.73
63,Entry long,2025-09-08 06:50,Long Entry,3628.7,2,7257.4,118.59,0.16,191.43,0.26,-96.57,-0.13,-7734.37,-7.73
64,Exit short,2025-09-08 23:35,EOD Close 21:00 UTC,3671.2,2,7347.8,-92.9,-0.13,0,0.00,-93.48,-0.13,-7827.27,-7.83
64,Entry short,2025-09-08 23:30,Short Entry,3673.9,2,7347.8,-92.9,-0.13,0,0.00,-93.48,-0.13,-7827.27,-7.83
65,Exit long,2025-09-09 03:05,Long Exit,3691.7,2,7353.8,148.63,0.20,222.46,0.30,-89.54,-0.12,-7678.64,-7.68
65,Entry long,2025-09-09 01:15,Long Entry,3676.9,2,7353.8,148.63,0.20,222.46,0.30,-89.54,-0.12,-7678.64,-7.68
66,Exit short,2025-09-09 05:45,Short Exit,3695.1,2,7366.6,-383.57,-0.52,0,0.00,-309.67,-0.42,-8062.21,-8.06
66,Entry short,2025-09-09 04:40,Short Entry,3683.3,2,7366.6,-383.57,-0.52,0,0.00,-309.67,-0.42,-8062.21,-8.06
67,Exit long,2025-09-09 07:05,Long Exit,3687.9,2,7389,-279.65,-0.38,8.11,0.01,-205.89,-0.28,-8341.86,-8.34
67,Entry long,2025-09-09 05:55,Long Entry,3694.5,2,7389,-279.65,-0.38,8.11,0.01,-205.89,-0.28,-8341.86,-8.34
68,Exit short,2025-09-09 23:05,EOD Close 21:00 UTC,3662.3,2,7360,207.15,0.28,482.4,0.65,-777.6,-1.06,-8134.71,-8.13
68,Entry short,2025-09-09 07:10,Short Entry,3680,2,7360,207.15,0.28,482.4,0.65,-777.6,-1.06,-8134.71,-8.13
69,Exit long,2025-09-09 23:55,EOD Close 21:00 UTC,3671.2,2,7335.6,-78.78,-0.11,0,0.00,-73.36,-0.10,-8213.49,-8.21
69,Entry long,2025-09-09 23:50,Long Entry,3667.8,2,7335.6,-78.78,-0.11,0,0.00,-73.36,-0.10,-8213.49,-8.21
70,Exit short,2025-09-10 03:50,Short Exit,3675.8,2,7331.4,-348.83,-0.48,100.69,0.14,-275.31,-0.38,-8562.32,-8.56
70,Entry short,2025-09-10 01:25,Short Entry,3665.7,2,7331.4,-348.83,-0.48,100.69,0.14,-275.31,-0.38,-8562.32,-8.56
71,Exit short,2025-09-10 13:30,Short Exit,3697.1,2,7377,-319.71,-0.43,0,0.00,-245.77,-0.33,-8882.03,-8.88
71,Entry short,2025-09-10 12:45,Short Entry,3688.5,2,7377,-319.71,-0.43,0,0.00,-245.77,-0.33,-8882.03,-8.88
72,Exit long,2025-09-10 15:50,Long Exit,3683.2,2,7390,-383.56,-0.52,0,0.00,-309.9,-0.42,-9265.59,-9.27
72,Entry long,2025-09-10 15:20,Long Entry,3695,2,7390,-383.56,-0.52,0,0.00,-309.9,-0.42,-9265.59,-9.27
73,Exit short,2025-09-10 23:05,EOD Close 21:00 UTC,3683.2,2,7359.2,-219.26,-0.30,28.41,0.04,-273.59,-0.37,-9484.85,-9.48
73,Entry short,2025-09-10 16:25,Short Entry,3679.6,2,7359.2,-219.26,-0.30,28.41,0.04,-273.59,-0.37,-9484.85,-9.48
74,Exit short,2025-09-11 06:30,Short Exit,3662.8,2,7358.6,183.16,0.25,256.41,0.35,-121.59,-0.17,-9301.69,-9.30
74,Entry short,2025-09-11 02:50,Short Entry,3679.3,2,7358.6,183.16,0.25,256.41,0.35,-121.59,-0.17,-9301.69,-9.30
75,Exit long,2025-09-11 08:05,Long Exit,3663.7,2,7347.8,-350.75,-0.48,0,0.00,-277.48,-0.38,-9652.44,-9.65
75,Entry long,2025-09-11 07:45,Long Entry,3673.9,2,7347.8,-350.75,-0.48,0,0.00,-277.48,-0.38,-9652.44,-9.65
76,Exit short,2025-09-11 23:05,EOD Close 21:00 UTC,3674.4,2,7328,-354.77,-0.48,206.72,0.28,-431.28,-0.59,-10007.21,-10.01
76,Entry short,2025-09-11 08:10,Short Entry,3664,2,7328,-354.77,-0.48,206.72,0.28,-431.28,-0.59,-10007.21,-10.01
77,Exit long,2025-09-12 03:05,Long Exit,3687.1,2,7347.4,120.78,0.16,194.53,0.26,-89.47,-0.12,-9886.43,-9.89
77,Entry long,2025-09-12 01:55,Long Entry,3673.7,2,7347.4,120.78,0.16,194.53,0.26,-89.47,-0.12,-9886.43,-9.89
78,Exit short,2025-09-12 09:50,Short Exit,3678.1,2,7381.6,106.62,0.14,180.18,0.24,-97.82,-0.13,-9779.8,-9.78
78,Entry short,2025-09-12 07:20,Short Entry,3690.8,2,7381.6,106.62,0.14,180.18,0.24,-97.82,-0.13,-9779.8,-9.78
79,Exit long,2025-09-12 13:25,Long Exit,3678.5,2,7373.2,-309.3,-0.42,2.27,0.00,-235.73,-0.32,-10089.11,-10.09
