Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
101,Exit long,2025-09-29 11:40,Long Exit,3847.7,2,7697.6,-175.93,-0.23,0,0.00,-100.98,-0.13,-16448.02,-16.45
101,Entry long,2025-09-29 11:35,Long Entry,3848.8,2,7697.6,-175.93,-0.23,0,0.00,-100.98,-0.13,-16448.02,-16.45
102,Exit short,2025-09-29 16:00,Short Exit,3860.1,2,7694,-416.14,-0.54,93.06,0.12,-338.94,-0.44,-16864.16,-16.86
102,Entry short,2025-09-29 13:30,Short Entry,3847,2,7694,-416.14,-0.54,93.06,0.12,-338.94,-0.44,-16864.16,-16.86
103,Exit short,2025-09-29 21:55,Short Exit,3863.2,2,7705,-368.31,-0.48,0,0.00,-291.05,-0.38,-17232.48,-17.23
103,Entry short,2025-09-29 19:10,Short Entry,3852.5,2,7705,-368.31,-0.48,0,0.00,-291.05,-0.38,-17232.48,-17.23
104,Exit short,2025-09-30 01:00,Short Exit,3863.6,2,7711.6,-310.39,-0.40,0,0.00,-233.12,-0.30,-17542.87,-17.54
104,Entry short,2025-09-29 23:30,Short Entry,3855.8,2,7711.6,-310.39,-0.40,0,0.00,-233.12,-0.30,-17542.87,-17.54
105,Exit long,2025-09-30 01:05,Long Exit,3864.1,2,7728.8,-160.57,-0.21,0,0.00,-83.29,-0.11,-17703.44,-17.70
105,Entry long,2025-09-30 01:00,Long Entry,3864.4,2,7728.8,-160.57,-0.21,0,0.00,-83.29,-0.11,-17703.44,-17.70
106,Exit short,2025-09-30 09:20,Short Exit,3851.2,2,7768.8,509.29,0.65,586.31,0.75,-159.69,-0.21,-17194.15,-17.19
106,Entry short,2025-09-30 07:55,Short Entry,3884.4,2,7768.8,509.29,0.65,586.31,0.75,-159.69,-0.21,-17194.15,-17.19
107,Exit long,2025-09-30 15:20,Long Exit,3879.4,2,7694,493.47,0.64,571.06,0.74,-222.94,-0.29,-16700.68,-16.70
107,Entry long,2025-09-30 13:50,Long Entry,3847,2,7694,493.47,0.64,571.06,0.74,-222.94,-0.29,-16700.68,-16.70
108,Exit short,2025-09-30 20:50,Short Exit,3887.1,2,7725.6,-641,-0.83,6.74,0.01,-563.26,-0.73,-17341.67,-17.34
108,Entry short,2025-09-30 16:15,Short Entry,3862.8,2,7725.6,-641,-0.83,6.74,0.01,-563.26,-0.73,-17341.67,-17.34
109,Exit short,2025-10-01 02:25,Short Exit,3893.2,2,7774.2,-277.61,-0.36,0,0.00,-199.74,-0.26,-17619.28,-17.62
109,Entry short,2025-10-01 02:10,Short Entry,3887.1,2,7774.2,-277.61,-0.36,0,0.00,-199.74,-0.26,-17619.28,-17.62
110,Exit long,2025-10-01 03:50,Long Exit,3886.6,2,7788,-303.61,-0.39,120.12,0.15,-225.88,-0.29,-17922.89,-17.92
110,Entry long,2025-10-01 02:45,Long Entry,3894,2,7788,-303.61,-0.39,120.12,0.15,-225.88,-0.29,-17922.89,-17.92
111,Exit long,2025-10-01 07:10,Long Exit,3885.8,2,7792.4,-363.64,-0.47,0,0.00,-285.92,-0.37,-18286.53,-18.29
111,Entry long,2025-10-01 06:05,Long Entry,3896.2,2,7792.4,-363.64,-0.47,0,0.00,-285.92,-0.37,-18286.53,-18.29
112,Exit short,2025-10-01 07:10,Short Exit,3888.4,2,7771.2,-211.48,-0.27,0,0.00,-133.71,-0.17,-18498.01,-18.50
112,Entry short,2025-10-01 07:10,Short Entry,3885.6,2,7771.2,-211.48,-0.27,0,0.00,-133.71,-0.17,-18498.01,-18.50
113,Exit short,2025-10-06 15:30,Margin call,3978.8,1,3885.7,-1009.64,-2.60,392.14,1.01,-969.86,-2.49,-19546.51,-19.55
113,Entry short,2025-10-01 07:15,Short Entry,3885.7,1,3885.7,-1009.64,-2.60,392.14,1.01,-969.86,-2.49,-19546.51,-19.55
114,Exit short,2025-11-20 14:56,Open,4093.9,1,3885.7,-2161.8,-5.56,392.14,1.01,-5161.86,-13.27,-21708.31,-21.71
114,Entry short,2025-10-01 07:15,Short Entry,3885.7,1,3885.7,-2161.8,-5.56,392.14,1.01,-5161.86,-13.27,-21708.31,-21.71
